date,股票代码,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,MA5,MA10,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower
2024-03-19,000001,1510.56,1494.31,1511.81,1493.06,1293216,1351069630.23,1.24,-1.16,-17.5,0.67,1496.808,1497.059,1507.6235000000001,,47.33753017465802,20.998919075967706,26.057562319206298,-5.058643243238592,1507.6235000000001,1552.0668459704962,1463.1801540295041
2024-03-20,000001,1491.81,1500.56,1503.06,1490.56,872663,910278572.98,0.84,0.42,6.25,0.45,1499.8079999999998,1498.559,1505.4355,,45.73212369524924,19.75150841007894,24.796351537380826,-5.044843127301885,1505.4355,1546.4483742174882,1464.422625782512
2024-03-21,000001,1500.56,1503.06,1509.31,1496.81,864466,905422293.67,0.83,0.17,2.5,0.45,1505.81,1499.684,1502.7475,,49.359040098451445,18.74853414580639,23.58678805906594,-4.83825391325955,1502.7475,1535.8678056653914,1469.6271943346085
2024-03-22,000001,1500.56,1489.31,1500.56,1483.06,1028142,1065535606.11,1.16,-0.91,-13.75,0.53,1499.81,1499.4339999999997,1499.6844999999998,,50.993272236054466,16.65220349264905,22.19987114578256,-5.547667653133509,1499.6844999999998,1524.4633963477197,1474.90560365228
2024-03-25,000001,1488.06,1494.31,1505.56,1484.31,953202,993304120.45,1.43,0.34,5.0,0.49,1496.31,1498.559,1498.8719999999998,,48.965631378606496,15.218870889831578,20.803671094592364,-5.584800204760786,1498.8719999999998,1523.211163675475,1474.5328363245246
2024-03-26,000001,1500.56,1519.31,1526.81,1496.81,1740021,1835376190.72,2.01,1.67,25.0,0.9,1501.31,1499.059,1499.4969999999998,,58.70877844867626,15.91675707406489,19.826288290486872,-3.909531216421982,1499.4969999999998,1525.2928104309592,1473.7011895690405
2024-03-27,000001,1514.31,1510.56,1523.06,1508.06,1274136,1347397150.36,0.99,-0.58,-8.75,0.66,1503.31,1501.559,1499.747,,54.77658327813726,15.58414075602468,18.977858783594435,-3.3937180275697543,1499.747,1525.8848661393067,1473.6091338606934
2024-03-28,000001,1508.06,1505.56,1515.56,1491.81,1302189,1362980388.48,1.57,-0.33,-5.0,0.67,1503.81,1504.81,1499.1219999999998,,53.415809608982954,14.747086481138467,18.131704323103243,-3.3846178419647757,1499.1219999999998,1523.982688562266,1474.2613114377336
2024-03-29,000001,1500.56,1509.31,1515.56,1498.06,872759,917332315.96,1.16,0.25,3.75,0.45,1507.81,1503.81,1499.3094999999998,,51.612736749754866,14.222362060858131,17.34983587065422,-3.12747380979609,1499.3094999999998,1524.4298423334135,1474.1891576665862
2024-04-01,000001,1509.31,1524.31,1525.56,1508.06,1191088,1261770380.39,1.16,0.99,15.0,0.61,1513.81,1505.06,1501.2469999999998,,52.531389226407455,14.845756181027582,16.849019932728893,-2.0032637517013114,1501.2469999999998,1527.8366624946516,1474.657337505348
2024-04-02,000001,1523.06,1513.06,1529.31,1510.56,1085458,1149700799.95,1.23,-0.74,-11.25,0.56,1512.56,1506.935,1501.9969999999998,1435.7146666666667,57.63804021775358,14.267552073684328,16.33272636091998,-2.065174287235653,1501.9969999999998,1529.0503127458885,1474.9436872541112
2024-04-03,000001,1510.56,1501.81,1513.06,1496.81,981846,1028648883.43,1.07,-0.74,-11.25,0.51,1510.81,1507.06,1502.8094999999998,1438.3193333333334,58.04430521369434,12.754514074214057,15.617083903578798,-2.862569829364741,1502.8094999999998,1528.7369091709204,1476.8820908290793
2024-04-08,000001,1496.81,1498.06,1505.56,1490.56,906361,945290441.32,1.0,-0.25,-3.75,0.47,1509.31,1506.56,1503.1219999999998,1440.8823333333335,42.201834862385326,11.124589555264947,14.718585033916028,-3.593995478651081,1503.1219999999998,1528.6386023146647,1477.605397685335
2024-04-09,000001,1498.06,1494.31,1503.06,1489.31,857157,891468991.01,0.92,-0.25,-3.75,0.44,1506.31,1507.06,1503.2469999999998,1443.5703333333333,43.39622641509434,9.421661917281881,13.6592004105892,-4.237538493307319,1503.2469999999998,1528.553908646923,1477.9400913530767
2024-04-10,000001,1491.81,1479.31,1495.56,1478.06,1246391,1288696196.29,1.17,-1.0,-15.0,0.64,1497.31,1505.56,1502.0595,1445.675,44.23076923076923,6.783508788750623,12.284062086221486,-5.500553297470862,1502.0595,1529.538985534917,1474.5800144650832
2024-04-11,000001,1474.3,1475.56,1480.56,1459.3,1010213,1030820137.39,1.44,-0.25,-3.75,0.52,1489.81,1501.185,1500.1219999999998,1447.9671666666666,40.196078431372555,4.34012945683844,10.695275560344877,-6.355146103506437,1500.1219999999998,1529.3719238685558,1470.872076131444
2024-04-12,000001,1471.8,1451.8,1478.06,1449.3,1305454,1322011753.93,1.95,-1.61,-23.76,0.67,1479.808,1495.309,1498.4339999999997,1449.8008333333335,32.77090615756924,0.4809561403051248,8.652411676336927,-8.171455536031802,1498.4339999999997,1534.3575377463164,1462.510462253683
2024-04-15,000001,1453.05,1480.56,1484.31,1451.8,1453203,1486326196.01,2.24,1.98,28.76,0.75,1476.308,1492.809,1498.8094999999998,1452.301333333333,47.328570556267934,-0.253848664845691,6.871159608100403,-7.125008272946094,1498.8094999999998,1533.7596602887745,1463.8593397112252
2024-04-16,000001,1479.31,1479.31,1493.06,1471.8,1478036,1523138499.07,1.44,-0.08,-1.25,0.76,1473.3079999999998,1489.8089999999997,1496.8094999999998,1454.6143333333332,45.31308586426697,-0.9263726727006087,5.311653151940201,-6.238025824640809,1496.8094999999998,1531.396233370812,1462.2227666291876
2024-04-17,000001,1476.81,1521.81,1523.06,1470.55,2232641,2337576586.88,3.55,2.87,42.5,1.15,1481.808,1489.5589999999997,1497.3094999999998,1457.594,50.70414601171699,1.9475913971875798,4.638840800989676,-2.6912494038020967,1497.3094999999998,1533.0782311106175,1461.5407688893822
2024-04-18,000001,1516.81,1544.32,1573.07,1514.31,3165914,3427338981.81,3.86,1.48,22.51,1.63,1495.56,1492.685,1499.81,1460.9071666666666,58.824759514847344,5.97274739043678,4.905622118879097,1.0671252715576829,1499.81,1541.2399667797229,1458.380033220277
2024-04-19,000001,1533.06,1530.56,1546.82,1526.81,1457675,1562376146.58,1.3,-0.89,-13.76,0.75,1511.312,1495.56,1501.31,1463.72,56.248750249950014,7.960630320869313,5.516623759277141,2.4440065615921727,1501.31,1544.9667959380836,1457.6532040619163
2024-04-22,000001,1524.31,1506.81,1545.57,1500.56,2009818,2125722741.41,2.94,-1.55,-23.75,1.04,1516.562,1496.435,1501.4975,1466.3663333333332,49.43192146882385,7.532782128804911,5.919855433182695,1.6129266956222157,1501.4975,1545.2181071489658,1457.776892851034
2024-04-23,000001,1508.06,1511.81,1525.56,1501.81,1240027,1308866093.13,1.58,0.33,5.0,0.64,1523.062,1498.185,1502.6225,1469.1585000000002,47.02437630927442,7.510590159195544,6.238002378385266,1.2725877808102783,1502.6225,1546.1802887771914,1459.0647112228085
2024-04-24,000001,1509.31,1510.56,1515.56,1501.81,941568,989093538.21,0.91,-0.08,-1.25,0.49,1520.812,1501.31,1503.435,1471.9923333333334,49.375124975005,7.307897417658751,6.4519813862399635,0.8559160314187872,1503.435,1546.9461303364833,1459.9238696635166
2024-04-25,000001,1506.81,1520.56,1521.81,1504.31,1113812,1176304524.86,1.16,0.66,10.0,0.57,1516.06,1505.81,1503.4975,1475.1386666666665,54.716031993561046,7.863532478646675,6.734291604721307,1.1292408739253688,1503.4975,1547.1081205678884,1459.8868794321115
2024-04-26,000001,1518.06,1519.31,1528.06,1504.31,1607628,1698581436.96,1.56,-0.08,-1.25,0.83,1513.81,1512.561,1503.935,1478.1391666666666,55.41290947068114,8.10953108792637,7.00933950136232,1.1001915865640504,1503.935,1548.0169516713863,1459.8530483286136
2024-04-29,000001,1514.31,1545.57,1556.82,1509.31,2169177,2337350883.73,3.13,1.73,26.26,1.12,1521.562,1519.062,1505.9355,1481.2230000000002,61.713893967093234,10.30466354718601,7.668404310527059,2.636259236658951,1505.9355,1553.797319295931,1458.0736807040691
